image,caption,audio
68AJ_1alYNg.png,Man speaks while bees buzz,./data/audiocaps/dataset/train/68AJ_1alYNg.wav
xpRBnXZnRm0.png,A man speaking followed by crinkling,./data/audiocaps/dataset/train/xpRBnXZnRm0.wav
YkWrXaJNpn4.png,A power tool hums and vibrates,./data/audiocaps/dataset/train/YkWrXaJNpn4.wav
xpE3LXuhJS8.png,Vibrations and humming of a power drill,./data/audiocaps/dataset/train/xpE3LXuhJS8.wav
67r_mSftdjk.png,A woman giving a speech,./data/audiocaps/dataset/train/67r_mSftdjk.wav
67rvn9HIZsM.png,The chirping of multiple birds accompanies gurgling water and crunching footsteps,./data/audiocaps/dataset/train/67rvn9HIZsM.wav
67yhKQpwvjo.png,"People speak followed by spraying, then a phone rings",./data/audiocaps/dataset/train/67yhKQpwvjo.wav
67zyxZb-wQM.png,A round of applause followed by a woman speaking,./data/audiocaps/dataset/train/67zyxZb-wQM.wav
6813SgG-6Rk.png,A door creaks open slowly,./data/audiocaps/dataset/train/6813SgG-6Rk.wav
6850oZZoeb8.png,"Traffic sounds are present and ongoing, an adult male is speaking, and metal clicking occurs",./data/audiocaps/dataset/train/6850oZZoeb8.wav
XbTazhNR5Cc.png,A kid talks followed by a woman talking while several people laugh,./data/audiocaps/dataset/train/XbTazhNR5Cc.wav
3JNjTAf04rc.png,People are talking and pig oinks,./data/audiocaps/dataset/train/3JNjTAf04rc.wav
2i8L8v2NTsY.png,A man gives a speech,./data/audiocaps/dataset/train/2i8L8v2NTsY.wav
2i8w_CZEprk.png,"Water flowing, wind blowing, a dog whimpers",./data/audiocaps/dataset/train/2i8w_CZEprk.wav
3JAjNVImec4.png,People cheering and race cars racing by,./data/audiocaps/dataset/train/3JAjNVImec4.wav
2i82jVZy1pk.png,"Some unidentified low sound, followed by a child laughter and a female chuckling",./data/audiocaps/dataset/train/2i82jVZy1pk.wav
3J9nGJ5dmsI.png,Motorcycle driving away at high speeds,./data/audiocaps/dataset/train/3J9nGJ5dmsI.wav
3J7NzRVaixM.png,"The wind is blowing, an engine runs, and tires squeal",./data/audiocaps/dataset/train/3J7NzRVaixM.wav
2hxTX4mb0bY.png,"An adult male is speaking, a motor is running, rhythmic vibration, and water is gurgling",./data/audiocaps/dataset/train/2hxTX4mb0bY.wav
yuqiS8rSp64.png,Humming and whooshing of a helicopter hovering close,./data/audiocaps/dataset/train/yuqiS8rSp64.wav
8Cscq1H9Lng.png,A vehicle driving and accelerating,./data/audiocaps/dataset/train/8Cscq1H9Lng.wav
8Cpw8deghns.png,Crinkling noise followed by a man talking,./data/audiocaps/dataset/train/8Cpw8deghns.wav
8ClpqdlMMTE.png,A small dog whimpering and howling,./data/audiocaps/dataset/train/8ClpqdlMMTE.wav
8Cpu6HuZppw.png,Someone suddenly sneezes out loud,./data/audiocaps/dataset/train/8Cpu6HuZppw.wav
8CpkuIJ1aQg.png,An adult male is speaking informatively,./data/audiocaps/dataset/train/8CpkuIJ1aQg.wav
8CdmbbBcx14.png,A kid speaking and another kid talks in the background,./data/audiocaps/dataset/train/8CdmbbBcx14.wav
8C_A2FOG02E.png,Bell chiming with a vehicle starting up,./data/audiocaps/dataset/train/8C_A2FOG02E.wav
8Cl-_ONJOes.png,A man is talking,./data/audiocaps/dataset/train/8Cl-_ONJOes.wav
8Cex_va7-8U.png,"A horse walks, some wood creaks, and a man talks",./data/audiocaps/dataset/train/8Cex_va7-8U.wav
ixaVHv5vqlw.png,"An adult female snickers quietly while faint snoring is ongoing, and random quiet metal clinking occurs",./data/audiocaps/dataset/train/ixaVHv5vqlw.wav
77fe_-5zCmM.png,"An adult male speaks, a meow occurs, then a boom, the male speaks again, and mechanical clicking occurs",./data/audiocaps/dataset/train/77fe_-5zCmM.wav
JaFx0FqcMRo.png,Humming of an engine followed by a woman speaking and a burp,./data/audiocaps/dataset/train/JaFx0FqcMRo.wav
LkXhkR4lTS4.png,A person talking the entire clip,./data/audiocaps/dataset/train/LkXhkR4lTS4.wav
LkXILk5okJg.png,Some liquid flows while kitchenware hits,./data/audiocaps/dataset/train/LkXILk5okJg.wav
LkPH8_fJ7Ls.png,A male child speaks and plastic crumples and crinkles,./data/audiocaps/dataset/train/LkPH8_fJ7Ls.wav
LkNOOWFKHD8.png,Water splashing and gurgling as people talk,./data/audiocaps/dataset/train/LkNOOWFKHD8.wav
XB-lOd-HH1o.png,A man talks while different birds tweet,./data/audiocaps/dataset/train/XB-lOd-HH1o.wav
Nnt49h9kSuQ.png,A man speaking followed by glass shuffling then wood clanking before glass clanks proceeded by liquid pouring into a container,./data/audiocaps/dataset/train/Nnt49h9kSuQ.wav
77ZFT8HuVq0.png,"A boat motor is running and then accelerates, and water is splashing",./data/audiocaps/dataset/train/77ZFT8HuVq0.wav
77YX1V-mPcY.png,Water is flowing making bubbly sounds and splashing around,./data/audiocaps/dataset/train/77YX1V-mPcY.wav
Nnv7ImgNAEg.png,Continuous hissing with bells and a horn honking,./data/audiocaps/dataset/train/Nnv7ImgNAEg.wav
77W8716C44A.png,A frog croaking,./data/audiocaps/dataset/train/77W8716C44A.wav
MgHh1iN_8fk.png,A sewing machine operates with squeaking sounds followed by knocking,./data/audiocaps/dataset/train/MgHh1iN_8fk.wav
UA5_5uj4iIw.png,"The whir of machine motors, the clacking of wooden boards",./data/audiocaps/dataset/train/UA5_5uj4iIw.wav
77VHwpyq6xo.png,A dog barks while people speak,./data/audiocaps/dataset/train/77VHwpyq6xo.wav
U9ySkH80BU8.png,Someone speaks as water runs into a sink,./data/audiocaps/dataset/train/U9ySkH80BU8.wav
No4tP84-NvI.png,Clanking with brief speech,./data/audiocaps/dataset/train/No4tP84-NvI.wav
qNsnip5tvsg.png,A person talking as a crowd laughs,./data/audiocaps/dataset/train/qNsnip5tvsg.wav
XASclzoqguI.png,A woman talks followed by sizzling and frying of food,./data/audiocaps/dataset/train/XASclzoqguI.wav
qO0P57aZBiw.png,A steam engine running on railroad tracks as steam heavily hisses,./data/audiocaps/dataset/train/qO0P57aZBiw.wav
qOA4vLvHHn8.png,Dogs growling while a woman is talking followed by dogs barking,./data/audiocaps/dataset/train/qOA4vLvHHn8.wav
qzy-KWlmlgc.png,A spray is triggered,./data/audiocaps/dataset/train/qzy-KWlmlgc.wav
RmF5uH_SuKQ.png,Several engines work in idle nearby,./data/audiocaps/dataset/train/RmF5uH_SuKQ.wav
kZ6h5EYl6fs.png,A large engine roars and someone is shouts a loud short rout,./data/audiocaps/dataset/train/kZ6h5EYl6fs.wav
4I2KlSyijz4.png,Men talk while an audience laughs and water runs from a faucet,./data/audiocaps/dataset/train/4I2KlSyijz4.wav
4IF49XmNCaw.png,"A toilet flushes, water flows",./data/audiocaps/dataset/train/4IF49XmNCaw.wav
4HtkTDr342c.png,A man is speaking and water is gurgling in the background,./data/audiocaps/dataset/train/4HtkTDr342c.wav
4HxIyosr-AM.png,A man is narrating while instrumental music plays and a plane engine sounds,./data/audiocaps/dataset/train/4HxIyosr-AM.wav
4HrtJcJc174.png,A woman is giving a speech,./data/audiocaps/dataset/train/4HrtJcJc174.wav
4Hs1yZu1GAU.png,Food is sizzling dishes are clanging together and a woman is speaking,./data/audiocaps/dataset/train/4Hs1yZu1GAU.wav
4HzAuSA8Syk.png,"People talking in foreign language, train horn",./data/audiocaps/dataset/train/4HzAuSA8Syk.wav
4Hy1t6KBY4o.png,Vehicle drives and honks its horn,./data/audiocaps/dataset/train/4Hy1t6KBY4o.wav
RX7gmpgfnYs.png,A man is talking and spraying something,./data/audiocaps/dataset/train/RX7gmpgfnYs.wav
RXE39pZXG3M.png,A few slams are followed by referee whistles,./data/audiocaps/dataset/train/RXE39pZXG3M.wav
RXE4HGOTQWI.png,Phone ringing then two men speaking,./data/audiocaps/dataset/train/RXE4HGOTQWI.wav
EN_D3UzTfqE.png,"An engine vibrates loudly nearby, and then wind blows",./data/audiocaps/dataset/train/EN_D3UzTfqE.wav
RXPij7peR3I.png,Singing followed by a man speaking then a bang,./data/audiocaps/dataset/train/RXPij7peR3I.wav
tdWWY6SoqlY.png,A bus slows down and its engine decelerates quietly,./data/audiocaps/dataset/train/tdWWY6SoqlY.wav
tdUv86s7PMw.png,An engine works while some frogs croak,./data/audiocaps/dataset/train/tdUv86s7PMw.wav
tdZk4rxpSlc.png,Whimpering and long yipping.,./data/audiocaps/dataset/train/tdZk4rxpSlc.wav
tdfz7W9xNIw.png,Loud wind noises and a car horn and a person talking at the end,./data/audiocaps/dataset/train/tdfz7W9xNIw.wav
WxuCynzEntQ.png,Metal clangs together in an enclosed space,./data/audiocaps/dataset/train/WxuCynzEntQ.wav
7XQZvjD_Ww0.png,A small motor is vibrating consistently,./data/audiocaps/dataset/train/7XQZvjD_Ww0.wav
ISTN_64MVnA.png,An electronic bleep beeping repeatedly,./data/audiocaps/dataset/train/ISTN_64MVnA.wav
7XCSZi0rS5E.png,A baby laughs and a man speaks,./data/audiocaps/dataset/train/7XCSZi0rS5E.wav
7XCaCkHgkZM.png,A cat is meowing over and over,./data/audiocaps/dataset/train/7XCaCkHgkZM.wav
7X3i7llSK9U.png,A train is blowing its horn as it passes by,./data/audiocaps/dataset/train/7X3i7llSK9U.wav
7XAySrozWrk.png,People in a small room are chanting and singing,./data/audiocaps/dataset/train/7XAySrozWrk.wav
7XKwZAmhdrg.png,A bus engine idles and people are having a conversation,./data/audiocaps/dataset/train/7XKwZAmhdrg.wav
7XL--db_qQ4.png,A bell is ringing and a train blows its horn twice long and hard,./data/audiocaps/dataset/train/7XL--db_qQ4.wav
L5gAhon3a68.png,A person speaks and a small RC engine spools up,./data/audiocaps/dataset/train/L5gAhon3a68.wav
L5fq5D1Uces.png,As the wind blows steadily a bird sings and an engine goes by,./data/audiocaps/dataset/train/L5fq5D1Uces.wav
IryLRJ2P_qQ.png,An insect buzzing intermittently,./data/audiocaps/dataset/train/IryLRJ2P_qQ.wav
CEggxDcgEHc.png,Metal clashes and a man speaks,./data/audiocaps/dataset/train/CEggxDcgEHc.wav
-RMHRmd5utQ.png,Continuous mechanical beep,./data/audiocaps/dataset/train/-RMHRmd5utQ.wav
-RLhcWjOd1E.png,Animal noises and whimpering,./data/audiocaps/dataset/train/-RLhcWjOd1E.wav
-RKs4NoVRms.png,A woman sneezes before describing the side effects of her cold,./data/audiocaps/dataset/train/-RKs4NoVRms.wav
-RIXNh-i88E.png,Woman speaking while a pan sizzles,./data/audiocaps/dataset/train/-RIXNh-i88E.wav
-RH8_ZSbHhc.png,Chatter and then a car horn beeping,./data/audiocaps/dataset/train/-RH8_ZSbHhc.wav
-RFRH50Qobg.png,Train horn tooting multiple times,./data/audiocaps/dataset/train/-RFRH50Qobg.wav
998RhGRlp1c.png,Rain hitting the roof,./data/audiocaps/dataset/train/998RhGRlp1c.wav
995vcjHHtZc.png,People are being pushed back on her own,./data/audiocaps/dataset/train/995vcjHHtZc.wav
994l_hUXlCM.png,"A group of birds cheep, a man speaks",./data/audiocaps/dataset/train/994l_hUXlCM.wav
98yzDuNZqjk.png,A boat or vehicle engine running steadily,./data/audiocaps/dataset/train/98yzDuNZqjk.wav
-ROt5_xhcyo.png,Vibration and noise of a working motor,./data/audiocaps/dataset/train/-ROt5_xhcyo.wav
-RNPQI3AJMw.png,Rapid gunfire and gunshots,./data/audiocaps/dataset/train/-RNPQI3AJMw.wav
B9JPdSzZXvc.png,A door is sliding open,./data/audiocaps/dataset/train/B9JPdSzZXvc.wav
B9J303z3ICM.png,A flushing of water and people talking,./data/audiocaps/dataset/train/B9J303z3ICM.wav
B9Hlx2G4ADc.png,An idling engine sound is followed by an engine revving,./data/audiocaps/dataset/train/B9Hlx2G4ADc.wav
B9F7ijiMaxs.png,Children are speaking followed by laughter,./data/audiocaps/dataset/train/B9F7ijiMaxs.wav
B98GzVyBEH8.png,"A man speaking in the distance with traffic passing in the distance, then a man speaks nearby and a door opens",./data/audiocaps/dataset/train/B98GzVyBEH8.wav
B97t6blNHnA.png,An engine idling consistently,./data/audiocaps/dataset/train/B97t6blNHnA.wav
B94vwFIqTUQ.png,A man speaks and types,./data/audiocaps/dataset/train/B94vwFIqTUQ.wav
B9-LyMdFE4I.png,Sanding and cracking,./data/audiocaps/dataset/train/B9-LyMdFE4I.wav
B8xK_lJFsRw.png,People speaking on a moving bus,./data/audiocaps/dataset/train/B8xK_lJFsRw.wav
B8t0JMx0vyk.png,Water pours out onto a surface,./data/audiocaps/dataset/train/B8t0JMx0vyk.wav
wEXFa9wRSn0.png,International music plays as water pours into a pot and finally some splashes,./data/audiocaps/dataset/train/wEXFa9wRSn0.wav
UrSXp3cd3tw.png,Humming of engines with some clicking and crackling,./data/audiocaps/dataset/train/UrSXp3cd3tw.wav
wEDtBaumjH8.png,A train horn sounds then someone laughs,./data/audiocaps/dataset/train/wEDtBaumjH8.wav
5y4pi2ShzhY.png,A explosion and a man speaking,./data/audiocaps/dataset/train/5y4pi2ShzhY.wav
w5xqAI6Ev40.png,Clanking followed by a toilet flushing and then some more clanking,./data/audiocaps/dataset/train/w5xqAI6Ev40.wav
4BwQL9lW7A4.png,A vibrating noise,./data/audiocaps/dataset/train/4BwQL9lW7A4.wav
2Qh9AFPNq50.png,A dog is barking people are talking,./data/audiocaps/dataset/train/2Qh9AFPNq50.wav
4C6JkAoRyVk.png,A horse neighs and birds chirp outside,./data/audiocaps/dataset/train/4C6JkAoRyVk.wav
4C5_pfsrp3Q.png,Birds are flapping their wings and some bird call,./data/audiocaps/dataset/train/4C5_pfsrp3Q.wav
4C4dfeDruIw.png,A person snoring,./data/audiocaps/dataset/train/4C4dfeDruIw.wav
2QZSUAQMHqk.png,Motor running followed by faint murmuring and gunshot,./data/audiocaps/dataset/train/2QZSUAQMHqk.wav
2QXhTsNhzIQ.png,"A distant train horn, followed by the clickety-clank of the train on the rail",./data/audiocaps/dataset/train/2QXhTsNhzIQ.wav
4C7XyQgZ_8I.png,A thump noise and a bird chirps,./data/audiocaps/dataset/train/4C7XyQgZ_8I.wav
2QTH4_WQlgg.png,A toilet flushes and then woman laugh in the background,./data/audiocaps/dataset/train/2QTH4_WQlgg.wav
2QXBc5C7Ut0.png,Female speaking followed by child speaking,./data/audiocaps/dataset/train/2QXBc5C7Ut0.wav
rsfXfpnLfeE.png,Frogs croaking and chirping,./data/audiocaps/dataset/train/rsfXfpnLfeE.wav
ePDemSpE3Ho.png,Continuous emergency sirens and horns,./data/audiocaps/dataset/train/ePDemSpE3Ho.wav
rt-0CEbzL2k.png,High pitched continuous ringing followed by clanking and rustling,./data/audiocaps/dataset/train/rt-0CEbzL2k.wav
rsrZOjkQ3rY.png,Rubbing and scraping followed by a soft power tool drilling then a louder power tool drilling,./data/audiocaps/dataset/train/rsrZOjkQ3rY.wav
rswivgQdpFA.png,A child and man speak then whistle,./data/audiocaps/dataset/train/rswivgQdpFA.wav
rt0Ksg7zpow.png,"An engine revs, tires squeal, a car accelerates into the distance",./data/audiocaps/dataset/train/rt0Ksg7zpow.wav
_-sns7INCWo.png,Rustling together with male speech and white noise,./data/audiocaps/dataset/train/_-sns7INCWo.wav
mZRsCN0ygaM.png,Water running followed by paper ripping,./data/audiocaps/dataset/train/mZRsCN0ygaM.wav
R8z8J9klk70.png,A camera is shuffled and a clang occurs,./data/audiocaps/dataset/train/R8z8J9klk70.wav
OzmtIGIsh7Y.png,A man is speaking then a sewing machine briefly turns on and off,./data/audiocaps/dataset/train/OzmtIGIsh7Y.wav
_0GMVllsIy4.png,A pigeon coos softly and then there is a lot of pecks and cooing by a lot of birds,./data/audiocaps/dataset/train/_0GMVllsIy4.wav
8xfX6p4e1ZI.png,Clip-clop of a horse trotting by,./data/audiocaps/dataset/train/8xfX6p4e1ZI.wav
8xah8J3bWis.png,A man and a woman talking as a telephone is ringing,./data/audiocaps/dataset/train/8xah8J3bWis.wav
5yFBvLbq1XA.png,Water running from a faucet,./data/audiocaps/dataset/train/5yFBvLbq1XA.wav
oy-nvX8f8nY.png,A drill runs continuously,./data/audiocaps/dataset/train/oy-nvX8f8nY.wav
SUF1l9xmZ-A.png,An engine revs very close by and then idles rickety,./data/audiocaps/dataset/train/SUF1l9xmZ-A.wav
SUTOf4oOJRE.png,A loud engine idling,./data/audiocaps/dataset/train/SUTOf4oOJRE.wav
SUNjVhN08fE.png,A man speaks as water flows down a stream,./data/audiocaps/dataset/train/SUNjVhN08fE.wav
8j7q3t8ie10.png,Moving of objects followed by a beep,./data/audiocaps/dataset/train/8j7q3t8ie10.wav
8jF5KAS1LkI.png,Females speech followed by a sewing machine in operation,./data/audiocaps/dataset/train/8jF5KAS1LkI.wav
8j6uc8DEzWA.png,A man is speaking and loud bangs happen,./data/audiocaps/dataset/train/8j6uc8DEzWA.wav
kxY_Asbi1wI.png,Water moves around and splashes loudly as a man grunts at the end,./data/audiocaps/dataset/train/kxY_Asbi1wI.wav
8j5gWsCQ3_4.png,A woman speaking and crowd cheering,./data/audiocaps/dataset/train/8j5gWsCQ3_4.wav
8j69QB0y4Cw.png,A vehicle driving by quietly and slowly,./data/audiocaps/dataset/train/8j69QB0y4Cw.wav
8ixP67tAOXs.png,Vehicles are racing by at a fast speed,./data/audiocaps/dataset/train/8ixP67tAOXs.wav
8j-jFjOn_4A.png,Wind is blowing and woman is laughing,./data/audiocaps/dataset/train/8j-jFjOn_4A.wav
8itRcDYjTiw.png,A man talking and traffic driving,./data/audiocaps/dataset/train/8itRcDYjTiw.wav
8itzyk-WgP0.png,A frog chirps and other frogs and crickets chirp in the background,./data/audiocaps/dataset/train/8itzyk-WgP0.wav
5MVE73rP6R8.png,A large engine hums and speeds down a roadway,./data/audiocaps/dataset/train/5MVE73rP6R8.wav
5yAnVjPDShU.png,Sirens ring out and cars speed by in the background,./data/audiocaps/dataset/train/5yAnVjPDShU.wav
5MSE1-YlVfc.png,A woman speaks followed by laughter and a cat crying,./data/audiocaps/dataset/train/5MSE1-YlVfc.wav
IU9Z_7GsYNM.png,Wind blows in a tunnel,./data/audiocaps/dataset/train/IU9Z_7GsYNM.wav
5MWchKu240k.png,Dog continuously barking while middle aged woman vocalizes in distinct accent and laughs,./data/audiocaps/dataset/train/5MWchKu240k.wav
5MIXgA43C0M.png,"People speak, some splashing and clapping followed by laughing",./data/audiocaps/dataset/train/5MIXgA43C0M.wav
Z9yyGhM_9qw.png,Buzzing of nearby insects with distant quacking and faint speaking from a nearby man,./data/audiocaps/dataset/train/Z9yyGhM_9qw.wav
5MRDu6qgla0.png,A crowd of people are talking and a police siren goes off loudly,./data/audiocaps/dataset/train/5MRDu6qgla0.wav
fXUT4w2jCWs.png,An engine sound is followed by the sound of helicopter blades,./data/audiocaps/dataset/train/fXUT4w2jCWs.wav
Z9aB-SFDnwk.png,"A man talks nearby, followed by a door closing, after which the man continues to talk",./data/audiocaps/dataset/train/Z9aB-SFDnwk.wav
MDW5VlmaGjA.png,A vehicle engine revving and accelerating while driving by,./data/audiocaps/dataset/train/MDW5VlmaGjA.wav
-8v6KSVvQrc.png,The man is speaking and the backside spray sound,./data/audiocaps/dataset/train/-8v6KSVvQrc.wav
-8uTrn1Y85U.png,Ducks are quacking and an adult female speaks,./data/audiocaps/dataset/train/-8uTrn1Y85U.wav
-8tskHwTfcQ.png,The sound of dried leaves rubbing against one another in response to being moved by the wind or another cause,./data/audiocaps/dataset/train/-8tskHwTfcQ.wav
-8sR1D7oCic.png,A race vehicle is accelerating its engine,./data/audiocaps/dataset/train/-8sR1D7oCic.wav
-8ysWJSrITc.png,She is talking,./data/audiocaps/dataset/train/-8ysWJSrITc.wav
-8yNBmjX1bE.png,Women speaking followed by children speaking,./data/audiocaps/dataset/train/-8yNBmjX1bE.wav
-8yCp5GagJA.png,The water tap was running water out of the faucet,./data/audiocaps/dataset/train/-8yCp5GagJA.wav
-8xXKLBLOnc.png,A drill motor is running,./data/audiocaps/dataset/train/-8xXKLBLOnc.wav
-8zyGG5y3io.png,"A woman speaks to a crowd, some camera clicks",./data/audiocaps/dataset/train/-8zyGG5y3io.wav
sN5B3nfGlZY.png,Someone is typing keys on a computer keyboard at a fast pace,./data/audiocaps/dataset/train/sN5B3nfGlZY.wav
gW4iTnEvqHA.png,"A car engine hums nearby, and then people talk quietly",./data/audiocaps/dataset/train/gW4iTnEvqHA.wav
0UlteOknFwI.png,Dog snuffling and panting,./data/audiocaps/dataset/train/0UlteOknFwI.wav
0UlXhWYb9Js.png,A whistle blows then a car comes and passes very fast,./data/audiocaps/dataset/train/0UlXhWYb9Js.wav
0UlaI-oeITg.png,The cars are passing by,./data/audiocaps/dataset/train/0UlaI-oeITg.wav
0UjmiLcmMa8.png,A toilet flushing away water while a bathroom stall door makes noise,./data/audiocaps/dataset/train/0UjmiLcmMa8.wav
